gsurl,class
gs://tamucc_coastline/esi_images/IMG_0137_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_3560_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7704_SecI_Sum12_Pt2.jpg,3A
gs://tamucc_coastline/esi_images/IMG_5243_SecJMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_6991_SecEFG_Sum12_Pt1.jpg,6A
gs://tamucc_coastline/esi_images/IMG_9107_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_1373_SecABD_Sum12_Pt1.jpg,8C
gs://tamucc_coastline/esi_images/IMG_7628_SecG_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_6720_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0337_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_0435_SecEFG_Sum12_Pt1.jpg,6A
gs://tamucc_coastline/esi_images/IMG_0811_SecBC_Spr12.jpg,3A
gs://tamucc_coastline/esi_images/IMG_8431_SecG_Spr12.jpg,3B
gs://tamucc_coastline/esi_images/IMG_5587_SecFG_Spr12.jpg,10B
gs://tamucc_coastline/esi_images/IMG_8066_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7268_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_4627_SecC_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_1792_SecEGH_Sum12_Pt2.jpg,8A
gs://tamucc_coastline/esi_images/IMG_1813_SecOP_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_6104_SecJMO_Sum12_Pt3.jpg,7
gs://tamucc_coastline/esi_images/IMG_2489_SecOP_Sum12_Pt3.jpg,3A
gs://tamucc_coastline/esi_images/IMG_2766_SecEGH_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_0794_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_6503_SecMO_Sum12_Pt3.jpg,3A
gs://tamucc_coastline/esi_images/IMG_6864_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_5686_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3807_SecDE_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_0545_SecHKL_Sum12_Pt2.jpg,8C
gs://tamucc_coastline/esi_images/IMG_6974_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_6313_SecEFG_Sum12_Pt1.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7526_SecI_Sum12_Pt2.jpg,3A
gs://tamucc_coastline/esi_images/IMG_2547_SecABD_Sum12_Pt1.jpg,9
gs://tamucc_coastline/esi_images/IMG_0543_SecBC_Spr12.jpg,3A
gs://tamucc_coastline/esi_images/IMG_0913_SecBC_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_7640_SecEFG_Sum12_Pt1.jpg,10D
gs://tamucc_coastline/esi_images/IMG_3720_SecOPQ_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7303_SecMO_Sum12_Pt3.jpg,10D
gs://tamucc_coastline/esi_images/IMG_1239_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3824_SecABD_Sum12_Pt1.jpg,8B
gs://tamucc_coastline/esi_images/IMG_1016_SecABD_Sum12_Pt1.jpg,8C
gs://tamucc_coastline/esi_images/IMG_8445_SecAB_Spr12.jpg,9
gs://tamucc_coastline/esi_images/IMG_0302_SecMO_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_0737_SecBC_Spr12.jpg,10A
gs://tamucc_coastline/esi_images/IMG_7986_SecI_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_5096_SecJMO_Sum12_Pt3.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3083_SecABD_Sum12_Pt1.jpg,8B
gs://tamucc_coastline/esi_images/IMG_2418_SecHKL_Sum12_Pt2.jpg,6A
gs://tamucc_coastline/esi_images/IMG_4637_SecOPQ_Sum12_Pt3.jpg,2A
gs://tamucc_coastline/esi_images/IMG_7551_SecG_Spr12.jpg,8C
gs://tamucc_coastline/esi_images/IMG_2764_SecHKL_Sum12_Pt2.jpg,10A
gs://tamucc_coastline/esi_images/IMG_3313_SecDE_Spr12.jpg,5
